,city,cloud,country,date,humidity,lat,lon,temp_max,wind speed
0,Nikolskoye,0,RU,1559418829,41,59.7,30.79,60.8,2.24
1,Qaanaaq,100,GL,1559418803,86,77.48,-69.36,27.23,6.87
2,Hermanus,69,ZA,1559418563,95,-34.42,19.24,57.0,13.73
3,Havoysund,98,NO,1559418854,93,71.0,24.66,37.4,20.8
4,Albany,40,US,1559418591,39,42.65,-73.75,82.0,10.29
5,Atuona,4,PF,1559418822,78,-9.8,-139.03,81.77,12.77
6,Busselton,0,AU,1559418800,54,-33.64,115.35,52.0,15.17
7,Hithadhoo,94,MV,1559418827,78,-0.6,73.08,83.93,8.21
8,Port Alfred,2,ZA,1559418808,83,-33.59,26.89,64.99,3.0
9,Ushuaia,75,AR,1559418803,74,-54.81,-68.31,37.4,14.99
10,Yumen,0,CN,1559418855,19,40.29,97.04,65.03,4.34
11,Zhigalovo,7,RU,1559418596,92,54.81,105.15,37.31,1.86
12,East London,0,ZA,1559418599,58,-33.02,27.91,59.45,4.59
13,Labe,100,NG,1559418856,90,7.7,8.47,76.37,5.97
14,Makokou,96,GA,1559418856,95,0.56,12.85,72.77,2.73
15,Gat,0,SN,1559418856,78,14.69,-16.54,71.6,18.34
16,Saint Andrews,3,NZ,1559418856,68,-44.53,171.19,37.99,11.16
17,Sorland,23,NO,1559418856,87,67.67,12.69,43.43,19.53
18,Punta Arenas,90,CL,1559418800,81,-53.16,-70.91,42.8,20.8
19,Nantucket,90,US,1559418846,93,41.28,-70.1,62.6,4.7
20,Jamestown,53,AU,1559418810,92,-33.21,138.6,47.57,3.11
21,Ribeira Grande,75,PT,1559418820,94,38.52,-28.7,68.0,11.41
22,Wanning,20,AT,1559418857,68,48.64,13.53,68.0,2.24
23,Saint George,40,GR,1559418820,43,39.45,22.34,71.6,6.93
24,Longyearbyen,0,NO,1559418840,59,78.22,15.63,35.6,10.29
25,Okrika,100,NG,1559418858,95,5.52,7.78,74.21,4.21
26,Atambua,63,ID,1559418858,73,-9.11,124.89,81.41,21.34
27,Mahebourg,75,MU,1559418806,94,-20.41,57.7,75.2,6.93
28,Mehtar Lam,75,AF,1559418858,37,34.67,70.21,84.2,8.32
29,Muros,0,ES,1559418858,36,42.77,-9.06,75.2,3.36
30,Rikitea,100,PF,1559418800,76,-23.12,-134.97,73.49,21.25
31,Barrow,0,AR,1559418825,60,-38.31,-60.23,55.13,8.08
32,Nuuk,90,GL,1559418837,63,64.17,-51.74,37.4,14.99
33,San Felipe,0,CL,1559418638,23,-32.75,-70.73,57.29,3.94
34,Tilichiki,100,RU,1559418859,72,60.47,166.1,49.01,7.92
35,Touros,20,BR,1559418837,70,-5.2,-35.46,84.2,13.87
